CÓDIGO;UNIDADE;TÍTULO;ÁREA DE CONHECIMENTO;VINCULAÇÃO;FINANCIADO;PARTICIPAÇÃO;PERÍODO DE VIGÊNCIA
PV02480-2018;FACULDADE DE LETRAS;CONTEXTOS ORTOGRÁFICOS DO SISTEMA ELIS  REFLEXÕES LINGUÍSTICAS;Lingüística, Letras e Artes - Lingüística;Com Grupo de Pesquisa;não;MARIANGELA ESTELITA BARROS (DOCENTE - Coordenador), SÉRGIO CLARINDO DA SILVA (DISCENTE - Colaborador);05/05/2018 a 05/05/2023
PI03087-2018;UNID. ACAD. ESP/CIENCIAS DA SAUDE-JATA;AVALIAÇÃO DA FUNÇÃO PULMONAR, FORÇA MUSCULAR RESPIRATÓRIA E FUNCIONALIDADE EM GESTANTES E PUÉRPERAS;Ciências da Saúde - Medicina - Saúde Materno-Infantil, Ciências da Saúde - Fisioterapia e Terapia Ocupacional;Sem Vínculo (Projeto Isolado);não;ALLOMA CRISTINE DIAS SILVA (DISCENTE - Colaborador), BEATRIZ JÚLIA PIMENTA (DISCENTE - Colaborador), BYANCA APARECIDA ALVES (DISCENTE - Colaborador), ISABELA SANTOS LIMA (DISCENTE - Colaborador), MARIANNE LUCENA DA SILVA (DOCENTE - Coordenador);05/11/2018 a 05/12/2020
PV02617-2018;FACULDADE DE LETRAS;Dicionarização e estudos de léxico;Lingüística, Letras e Artes - Lingüística - Lingüística Histórica;Com Grupo de Pesquisa;não;GIOVANNA BAZ SILVA (DISCENTE - Colaborador), HUMBERTO JOSE LONGO (DOCENTE - Colaborador), LILIAN DE OLIVEIRA LEITE SILVA (DISCENTE - Colaborador), MARIA SUELI DE AGUIAR (DOCENTE - Coordenador), THALITA LORRANY VELEDA DOS SANTOS (DISCENTE - Colaborador);31/07/2018 a 31/03/2020
PI02965-2018;FACULDADE DE MEDICINA;AVALIAÇÃO DA QUALIDADE DE VIDA DE MULHERES TRANSEXUAIS ANTES E APÓS SEREM SUBMETIDAS À CIRURGIA DE REDESIGNAÇÃO SEXUAL;Ciências da Saúde - Medicina - Clínica Médica - Ginecologia e Obstetrícia;Sem Vínculo (Projeto Isolado);não;BRUNO VINICIUS DUTRA MACHADO (DISCENTE - Colaborador), LUIZ CESAR DE CAMARGO FERRO (DISCENTE - Colaborador), MARILUZA TERRA SILVEIRA (DOCENTE - Coordenador), MATHEUS ALENCAR DA SILVA (DISCENTE - Colaborador);02/01/2018 a 30/12/2020
PI02868-2018;FACULDADE DE EDUCACAO;Formação de professores e didática emergente;Ciências Humanas - Educação - Ensino-Aprendizagem - Métodos e Técnicas de Ensino;Sem Vínculo (Projeto Isolado);não;CARLOS CARDOSO SILVA (DOCENTE - Vice-coodernador), CLAUDIA REGINA DE CASTRO TEIXEIRA (EXTERNO - Colaborador), FRANCIELLY SILVEIRA ALENCAR (DISCENTE - Colaborador), JARDESON RODRIGUES DA SILVA DE SOUSA (DISCENTE - Colaborador), JOÃO HENRIQUE SUANNO (EXTERNO - Colaborador), LETICIA BATISTA DA COSTA (DISCENTE - Colaborador), MARIA JOSE DE PINHO (EXTERNO - Colaborador), MARILZA VANESSA ROSA SUANNO (DOCENTE - Coordenador), RONEY AIRES FERREIRA (SERVIDOR - Colaborador), THAMIRIS LIRA DOS SANTOS (DISCENTE - Colaborador);12/09/2018 a 12/09/2022
PI03374-2018;INSTITUTO DE PATOLOGIA TROPICAL E SAUDE PUBLICA;IMPACTOS DA MELATONINA (N-ACETIL-5-METOXITRIPTAMINA) NA CICATRIZAÇÃO DE FERIDAS CUTÂNEAS DE RATOS DIABÉTICOS;Ciências da Saúde - Medicina - Anatomia Patológica e Patologia Clínica, Ciências Agrárias - Medicina Veterinária - Patologia Animal - Anatomia Patologia Animal;Tipo de vínculo desconhecido;não;ANGÉLICA DE LIMA DAS CHAGAS (DISCENTE - Colaborador), ISABELA RODRIGUES ARAÚJO (DISCENTE - Colaborador), LILIANA BORGES DE MENEZES LEITE (DOCENTE - Vice-coodernador), MARA TAÍS DE CARVALHO (DISCENTE - Colaborador), MARINA PACHECO MIGUEL (DOCENTE - Coordenador), TAINARA RIBEIRO DE SOUZA (DISCENTE - Vice-coodernador);01/03/2018 a 30/12/2020
PI02350-2018;FACULDADE DE INFORMAÇÃO E COMUNICAÇÃO;Retrato da Inteligência Competitiva na Academia Brasileira;Ciências Sociais Aplicadas - Ciência da Informação, Ciências Sociais Aplicadas - Comunicação - Relações Públicas e Propaganda;Sem Vínculo (Projeto Isolado);não;ELISEU VIEIRA MACHADO JUNIOR (DOCENTE - Colaborador), KATIA KELVIS CASSIANO (DOCENTE - Vice-coodernador), MARCOS NATAL DA COSTA PAZ (DISCENTE - Colaborador), MARINA RORIZ RIZZO LOUSA DA CUNHA (DOCENTE - Coordenador);01/03/2018 a 01/08/2019
PI02964-2018;UNID. ACAD. ESP./EDUCAÇÃO - CATALÃO;APLICAÇÃO DE METODOLOGIAS ATIVAS DE APRENDIZAGEM EM DISCIPLINAS DE FÍSICA DA EDUCAÇÃO DO CAMPO: UMA RESTRUTURAÇÃO DO ENSINO DE FÍSICA FORMADOR DE PROFESSORES(AS).;Ciências Humanas - Educação - Ensino-Aprendizagem;Sem Vínculo (Projeto Isolado);não;ABILA NUNES DE OLIVEIRA (DISCENTE - Colaborador), CLEBER COSTA (DISCENTE - Colaborador), MARINA VALENTIM BARROS (DOCENTE - Coordenador), MAURO ANTONIO ANDREATA (DOCENTE - Colaborador), MERIAN DE OLIVEIRA GOBBO SILVEIRA (DISCENTE - Colaborador);03/05/2018 a 03/05/2022
PI02313-2018;INSTITUTO DE CIENCIAS BIOLOGICAS;Paradigmas éticos e uso de abordagens econômicas em estudos sobre conservação da biodiversidade;Ciências Biológicas - Ecologia - Ecologia Teórica;Sem Vínculo (Projeto Isolado);não;CRISTIELE BARBOSA VALENTE (DISCENTE - Colaborador), DANDARA MOURA DOS SANTOS (DISCENTE - Colaborador), MARIO ALMEIDA NETO (DOCENTE - Coordenador);02/01/2018 a 31/07/2020
PI02937-2018;FACULDADE DE MEDICINA;ALTERAÇÕES DO PERFIL ENDÓCRINO  OVULATÓRIO POR FAIXAS ETÁRIAS DE 500 PACIENTES INFÉRTEIS  ;Ciências da Saúde - Medicina - Clínica Médica - Ginecologia e Obstetrícia;Com Programa de Pós-graduação da UFG;não;FABIANA CARMO APPROBATO (DISCENTE - Colaborador), MARIO SILVA APPROBATO (DOCENTE - Coordenador);17/10/2018 a 17/12/2019
PI03784-2018;UNID. ACAD. ESP/CIENCIAS DA SAUDE-JATA;FREQUÊNCIA DE DIABETES MELLITUS E HIPERTENSÃO ARTERIAL SISTÊMICA EM INDÍGENAS XAVANTES.;Ciências da Saúde - Saúde Coletiva - Saúde Pública;Tipo de vínculo desconhecido;não;LETICIA PALOTA EID (DOCENTE - Colaborador), LETÍCIA PENARIWÊ SOUSA WA ROVÊDENÊ (DISCENTE - Colaborador), MARISE RAMOS DE SOUZA (DOCENTE - Coordenador), MARLENE ANDRADE MARTINS (DOCENTE - Vice-coodernador);01/09/2018 a 31/12/2020
PI02223-2018;FACULDADE DE FARMACIA;Métodos alternativos aplicados a avaliação do potencial alergênico de ingredientes cosméticos;Ciências da Saúde - Farmácia - Análise Toxicológica;Com Programa de Pós-graduação da UFG;não;ARTUR CHRISTIAN GARCIA DA SILVA (SERVIDOR - Colaborador), MARIZE CAMPOS VALADARES (DOCENTE - Coordenador), RENATO IVAN DE ÁVILA MARCELINO (DOCENTE - Colaborador);19/02/2018 a 19/02/2021
PI02787-2018;FACULDADE DE EDUCAÇÃO FISICA E DANÇA;Observatório de Pesquisa em Ações Afirmativas da Universidade Federal de Goiás;Ciências Humanas - Educação - Planejamento e Avaliação Educacional - Avaliação de Sistemas, Instituições, Planos e Programas Educacionais;Sem Vínculo (Projeto Isolado);não;ELISÂNGELA GOMES (DISCENTE - Colaborador), JULIANA DE OLIVEIRA FERREIRA (DISCENTE - Colaborador), MARLINI DORNELES DE LIMA (DOCENTE - Coordenador), SUZANE DE ALENCAR VIEIRA (DOCENTE - Vice-coodernador);01/07/2018 a 20/12/2021
PI03792-2018;INSTITUTO DE PATOLOGIA TROPICAL E SAUDE PUBLICA;PANORAMA DAS DOENÇAS RARAS: QUALIDADE DE VIDA DE PORTADORES E FAMILIARES DE UM SERVIÇO DE REFERÊNCIA DO CENTRO OESTE BRASILEIRO ;Ciências da Saúde - Saúde Coletiva - Saúde Pública;Tipo de vínculo desconhecido;não;DIANA ALVES DE FRANÇA FERREIRA (DISCENTE - Vice-coodernador), MARTA ROVERY DE SOUZA (DOCENTE - Coordenador);03/03/2018 a 20/12/2020
PI02197-2018;UNID. ACAD. ESP/CIENCIAS EXATAS - JATA;PROJETO MERCÚRIO -DESENVOLVIMENTO E CONSTRUÇÃO DE UM SISTEMA DE ALERTA DE TEMPERATURA AUTOMÁTICA;Ciências Exatas e da Terra - Geociências - Geofísica;Sem Vínculo (Projeto Isolado);não;MAURICIO JOSE ALVES BOLZAM (DOCENTE - Coordenador), PHABLO DE ARAUJO SOUSA (DISCENTE - Colaborador), THIAGO OLIVEIRA LIMA (SERVIDOR - Colaborador);08/02/2018 a 31/12/2019
PI02225-2018;UNID. ACAD. ESP/CIENCIAS EXATAS - JATA;Aquisição e Instalação de Magnetômetro e Análise de Dados do Campo Geomagnético em Jataí (GO);Ciências Exatas e da Terra - Geociências;Sem Vínculo (Projeto Isolado);não;JOAO CARLOS DE MOURA CASTRO NETO (DISCENTE - Colaborador), LETICIA CORREIA DE OLIVEIRA (DISCENTE - Colaborador), MAURICIO JOSE ALVES BOLZAM (DOCENTE - Coordenador), PHABLO DE ARAUJO SOUSA (DISCENTE - Colaborador), THIAGO OLIVEIRA LIMA (SERVIDOR - Colaborador);22/02/2018 a 01/12/2021
PI02203-2018;ESCOLA DE ENGENHARIA CIVIL E AMBIENTAL;ESTUDO DE PROCESSOS EROSIVOS EM SOLOS TROPICAIS;Engenharias - Engenharia Civil - Geotécnica - Mecânicas dos Solos;Com Programa de Pós-graduação da UFG;não;AGUSTINA ROSA ECHEVERRIA (DOCENTE - Colaborador), ANDRELISA SANTOS DE JESUS (DOCENTE - Colaborador), CARLOS ALBERTO LAURO VARGAS (DOCENTE - Colaborador), DIEGO TARLEY FERREIRA NASCIMENTO (EXTERNO - Colaborador), EDER CARLOS GUEDES DOS SANTOS (DOCENTE - Colaborador), GILSON DE FARIAS NEVES GITIRANA JUNIOR (DOCENTE - Colaborador), JOAO CARNEIRO DE LIMA JUNIOR (SERVIDOR - Colaborador), JOEL ROBERTO GUIMARAES VASCO (DOCENTE - Colaborador), KLEBBER TEODOMIRO MARTINS FORMIGA (DOCENTE - Colaborador), LILIAN RIBEIRO DE REZENDE (DOCENTE - Colaborador), MARCIA MARIA DOS ANJOS MASCARENHA (DOCENTE - Vice-coodernador), MARLON SILVA SCHLIEWE (DISCENTE - Colaborador), MARTA PEREIRA DA LUZ (EXTERNO - Colaborador), MAURICIO MARTINES SALES (DOCENTE - Coordenador), PATRICIA DE ARAUJO ROMAO (DOCENTE - Colaborador), RAFAEL DE OLIVEIRA NASCIMENTO (DISCENTE - Colaborador), RENATO RESENDE ANGELIM (DOCENTE - Colaborador), RICARDO MOREIRA VILHENA (DISCENTE - Colaborador);15/02/2018 a 31/12/2019
PI03197-2018;FACULDADE DE MEDICINA;AVALIAÇÃO DA VITAMINA D NAS DOENÇAS INFLAMATÓRIAS INTESTINAIS.;Ciências da Saúde - Medicina - Clínica Médica - Gastroenterologia;Sem Vínculo (Projeto Isolado);não;BETTINA PENA MACHADO (DISCENTE - Colaborador), LARISSA VEIGA ZAGO (DISCENTE - Colaborador), MAURO BAFUTTO (DOCENTE - Coordenador), PAULA FACHETTI JUBE RIBEIRO (DISCENTE - Colaborador);14/09/2018 a 14/09/2022
PI03482-2018;FACULDADE DE FARMACIA;Desenvolvimento e Validação de um instrumento para avaliar o empoderamento do paciente frente a sua segurança referente ao tratamento farmacológico durante a internação;Ciências da Saúde - Farmácia;Tipo de vínculo desconhecido;não;AMANDA BOMFIM (DISCENTE - Colaborador), ANA CAROLINA FIGUEIREDO MODESTO (SERVIDOR - Colaborador), DIONE MARCAL (DOCENTE - Colaborador), JAQUELINE VIEIRA DE ALMEIDA (DISCENTE - Vice-coodernador), MERCIA PANDOLFO PROVIN (DOCENTE - Coordenador), PEDRO AUGUSTO PRADO MOTA (DISCENTE - Colaborador), RITA GORETI AMARAL (DOCENTE - Colaborador), TATYANA XAVIER ALMEIDA MATTEUCCI FERREIRA (SERVIDOR - Colaborador);20/09/2018 a 28/04/2023
PI02921-2018;FACULDADE DE CIENCIAS SOCIAIS;OS DADOS SOBRE VIOLÊNCIA CONTRA MULHERES EM GOIÂNIA E REGIÃO METROPOLITANA:COMO MELHORAR PRÁTICAS DE PREVENÇÃO À VIOLÊNCIA DOMÉSTICA NO ESTADO GOIÁS;Ciências Humanas - Sociologia - Outras Sociologias Específicas;Sem Vínculo (Projeto Isolado);não;GYZELE CRISTINA XAVIER SANTOS SOUZA (DISCENTE - Colaborador), MICHELE CUNHA FRANCO (DOCENTE - Coordenador), NAYANNE SILVA SOUSA (DISCENTE - Colaborador), SHERLOMA STARLET FONSECA (EXTERNO - Colaborador), VILMA DE FATIMA MACHADO (DOCENTE - Vice-coodernador);08/10/2018 a 31/03/2019
PV03302-2018;UNID. ACAD. ESP/CIENCIAS DA SAUDE-JATA;DIRETRIZES CURRICULARES DO ESTADO DE GOIÁS PARA O ENSINO FUNDAMENTAL E MÉDIO  ANÁLISE DAS CONCEPÇÕES E ORGANIZAÇÃO CURRICULAR NUMA PERSPECTIVA HISTÓRICO-CRÍTICA;Ciências Humanas - Educação;Com Grupo de Pesquisa;não;GISELLE FERREIRA ALVES GUIMARÃES (DISCENTE - Vice-coodernador), MICHELE SILVA SACARDO (DOCENTE - Coordenador);05/03/2018 a 30/10/2020
PI03192-2018;INSTITUTO DE CIENCIAS BIOLOGICAS;Homeostase de zinco e cobre no fungo Fonsecaea pedrosoi e sua relação com a patogenicidade: uma abordagem bioquímica e molecular.;Ciências Biológicas - Genética - Genética Molecular e de Microorganismos;Com Programa de Pós-graduação da UFG;não;ALEXANDRE MELO BAILAO (DOCENTE - Colaborador), ANAMELIA LORENZETTI BOCCA (EXTERNO - Colaborador), CELIA MARIA DE ALMEIDA SOARES (DOCENTE - Colaborador), IZABELLA ORLANDO BORGES DE OLIVEIRA (DISCENTE - Colaborador), KASSYO LOBATO POTENCIANO DA SILVA (DISCENTE - Colaborador), LARISSA FERNANDES (EXTERNO - Colaborador), LUCAS WEBA SOARES (DISCENTE - Colaborador), MIRELLE GARCIA SILVA BAILAO (DOCENTE - Coordenador);01/03/2018 a 28/02/2022
PI03085-2018;INSTITUTO DE ESTUDOS SOCIO-AMBIENTAIS;O ESTUDO DO ESPAÇO LOCAL DA REGIÃO METROPOLITANA DE GOIANIA E SUA REPRESENTAÇÃO A PARTIR DE ATLAS ESCOLARES MUNICIPAIS: UMA PROPOSTA DE FORMAÇÃO PARA PROFESSORES DO ENSINO FUNDAMENTAL;Ciências Humanas - Geografia - Geografia Humana;Com Programa de Pós-graduação da UFG;não;MIRIAM APARECIDA BUENO (DOCENTE - Coordenador);18/01/2018 a 31/12/2020
PI03293-2018;INSTITUTO DE ESTUDOS SOCIO-AMBIENTAIS;A mediação didática na construção do conhecimento acerca do espaço local, a partir de atlas escolares municipais : uma proposta regional de formação continuada de professores ;Ciências Humanas - Geografia - Geografia Regional - Análise Regional;Sem Vínculo (Projeto Isolado);não;ALEXSANDER BATISTA E SILVA (EXTERNO - Colaborador), ANTONIO FERNANDES DOS ANJOS (EXTERNO - Colaborador), BRUNO MAGNUM PEREIRA (EXTERNO - Colaborador), DELVANIA DOS SANTOS FREITAS SILVA (EXTERNO - Colaborador), DENIS RICHTER (DOCENTE - Vice-coodernador), DIEGO TARLEY FERREIRA NASCIMENTO (DOCENTE - Colaborador), EDNA MARIA FERREIRA DE ALMEIDA (EXTERNO - Colaborador), FLAVIO ALVES DE SOUSA (EXTERNO - Colaborador), JÚLIO CÉSAR PEREIRA BORGES (EXTERNO - Colaborador), LOCANDRA BORGES DE MORAES (EXTERNO - Colaborador), LORRANNE GOMES DA SILVA (EXTERNO - Colaborador), LUCIMAR MARQUES DA COSTA GARÇÃO (EXTERNO - Colaborador), LUCINEIDE MENDES PIRES E SILVA (EXTERNO - Colaborador), MAVISTELMA TEIXEIRA CARVALHO BORGES (EXTERNO - Colaborador), MIRIAM APARECIDA BUENO (DOCENTE - Coordenador), MIRIAN MARIA DE PAULA (EXTERNO - Colaborador), NILDA APARECIDA PASCOAL REZENDE (EXTERNO - Colaborador), PRISCYLLA KAROLINE DE MENEZES (EXTERNO - Colaborador), SILVIO BRAZ DE SOUSA (EXTERNO - Colaborador), UELINTON BARBOSA RODRIGUES (EXTERNO - Colaborador), WÂNIA CHAGAS FARIA CUNHA (EXTERNO - Colaborador), WELBERG VINICIUS GOMES BONIFÁCIO (EXTERNO - Colaborador);02/03/2018 a 31/12/2020
PI03074-2018;FACULDADE DE EDUCACAO;Comemorações e datas históricas, cultura histórica e história ensinada:mudanças e permanências;Ciências Humanas - História - História do Brasil - História do Brasil República;Sem Vínculo (Projeto Isolado);não;ANA CLARA DE ALMEIDA REZENDE (DISCENTE - Colaborador), CRISTINA HELOU GOMIDE (DOCENTE - Vice-coodernador), MIRIAM BIANCA DO AMARAL RIBEIRO (DOCENTE - Coordenador), SANDRA SOARES DA SILVA (DISCENTE - Colaborador);04/12/2018 a 06/12/2021
PI03075-2018;FACULDADE DE EDUCACAO;Cultura Histórica e história ensinada em Goiás -1934/2005;Ciências Humanas - História - História do Brasil - História Regional do Brasil;Sem Vínculo (Projeto Isolado);não;CRISTINA HELOU GOMIDE (DOCENTE - Vice-coodernador), LUISA DOS REIS BORGES (DISCENTE - Colaborador), MIRIAM BIANCA DO AMARAL RIBEIRO (DOCENTE - Coordenador), SANDRA SOARES DA SILVA (DISCENTE - Colaborador);04/12/2018 a 07/12/2021
PI02902-2018;FACULDADE DE EDUCACAO;Fundamentos teórico-metodológicos da pesquisa narrativa - as Rodas de Conversa e a pesquisa com jovens em análise;Ciências Humanas - Educação - Fundamentos da Educação - História da Educação;Sem Vínculo (Projeto Isolado);não;MIRIAM FABIA ALVES (DOCENTE - Coordenador);03/01/2018 a 03/01/2019
PI02903-2018;FACULDADE DE EDUCACAO;A Reforma do Ensino Médio com a Lei 13.4214/2017: percursos da rede estadual e federal em Goiás.;Ciências Humanas - Educação - Planejamento e Avaliação Educacional - Avaliação de Sistemas, Instituições, Planos e Programas Educacionais;Sem Vínculo (Projeto Isolado);não;MIRIAM FABIA ALVES (DOCENTE - Coordenador), MURILO DE CAMARGO WASCHECK (EXTERNO - Colaborador), SIMÔNIA PERES (EXTERNO - Colaborador), VALDIRENE ALVES DE OLIVEIRA (EXTERNO - Colaborador);01/06/2018 a 01/06/2020
PI03041-2018;INSTITUTO DE PATOLOGIA TROPICAL E SAUDE PUBLICA;AVALIAÇÃO DA MORBIMORTALIDADE DA INFECÇÃO POR METAPNEUMOVÍRUS EM GOIANIA. ANÁLISE DE UMA SÉRIE DE CASOS;Ciências da Saúde - Medicina - Clínica Médica - Doenças Infecciosas e Parasitárias;Tipo de vínculo desconhecido;não;MOARA ALVES SANTA BARBARA BORGES (DOCENTE - Coordenador);01/10/2018 a 30/04/2019
PI02676-2018;ESCOLA DE VETERINARIA E ZOOTECNIA;ALTERAÇÕES DERMATOLÓGICAS OBSERVADAS EM CÃES NECROPSIADOS NO SETOR DE PATOLOGIA ANIMAL DA EVZ/UFG;Ciências Agrárias - Medicina Veterinária - Patologia Animal - Anatomia Patologia Animal;Sem Vínculo (Projeto Isolado);não;ANA GABRIELA RODRIGUES LEOPOLDINO (DISCENTE - Colaborador), ANA PAULA IGLESIAS SANTIN (DOCENTE - Colaborador), DAIANNY PIRES DE FREITAS (DISCENTE - Colaborador), ERIC SAYMOM ANDRADE BRITO (DISCENTE - Colaborador), LUIZ AUGUSTO BATISTA BRITO (DOCENTE - Colaborador), MARISTELA DOS SANTOS VIEIRA (DISCENTE - Colaborador), MOEMA PACHECO CHEDIAK MATOS (DOCENTE - Coordenador), REGIANI NASCIMENTO GAGNO PORTO (DOCENTE - Colaborador), THIAGO GIOVANNI SILVA RODRIGUES (DISCENTE - Colaborador), VERIDIANA MARIA BRIANEZI DIGNANI DE MOURA (DOCENTE - Colaborador);02/08/2018 a 02/07/2022
PI02549-2018;UNID. ACAD. ESP/CIENCIAS BIOLOGICAS-JA;Junções de aderência em embriões de peixes e seu papel na qualidade embrionária após resfriamento e criopreservação ;Ciências Biológicas - Fisiologia - Fisiologia Geral, Ciências Agrárias - Medicina Veterinária - Reprodução Animal - Inseminação Artificial Animal, Ciências Agrárias - Recursos Pesqueiros e Engenharia de Pesca - Aqüicultura - Piscicultura;Com Programa de Pós-graduação da UFG;não;CAROLINA COSTA MAIA ARAÚJO (DISCENTE - Colaborador), EMILIA CELMA DE OLIVEIRA LIMA (DOCENTE - Colaborador), GUSTAVO HENRIQUE MARQUES ARAUJO (DOCENTE - Colaborador), ISAAC FERREIRA CHAGAS SOUZA (DISCENTE - Colaborador), LARISE CAROLINE OLIVEIRA LIMA (DISCENTE - Colaborador), LILIA CRISTINA DE SOUZA BARBOSA (SERVIDOR - Colaborador), LORRANNY PEREIRA DE ASSIS VALADARES (DISCENTE - Colaborador), LUCIMIRIA MARIA RABELO (DISCENTE - Colaborador), LUIS DAVID SOLIS MURGAS (EXTERNO - Colaborador), MONICA RODRIGUES FERREIRA MACHADO (DOCENTE - Coordenador), OLIVIA BASSO ROCHA (DISCENTE - Colaborador), RICARDO DE MATTOS SANTA RITA (DOCENTE - Vice-coodernador), THIAGO LOPES ROCHA (DOCENTE - Colaborador), VICTÓRIA CARDOSO MENDES (DISCENTE - Colaborador);02/04/2018 a 31/12/2020
PI02600-2018;INSTITUTO DE PATOLOGIA TROPICAL E SAUDE PUBLICA;Análise de genes de virulência de Helicobacter pylori e correlação com patologias gástricas.;Ciências Biológicas - Microbiologia - Microbiologia Aplicada - Microbiologia Médica;Com Programa de Pós-graduação da UFG;não;AMANDA FERREIRA PAES LANDIM RAMOS (DISCENTE - Colaborador), ANA KAROLINE BARBOSA DA SILVA (DISCENTE - Colaborador), ANGEL JOSÉ VIEIRA BLANCO (EXTERNO - Colaborador), BRUNO BATISTA DOS SANTOS (DISCENTE - Colaborador), CARLA AFONSO DA SILVA (DOCENTE - Colaborador), IGOR MARQUES CESÁRIO CALASSA (DISCENTE - Colaborador), JAQUELINE CORREIA PONTES (DISCENTE - Colaborador), JESSICA ALVES RODRIGUES (DISCENTE - Colaborador), LILIAN CARLA CARNEIRO (DOCENTE - Colaborador), LUCAS LUIZ DE LIMA SILVA (DISCENTE - Colaborador), MONICA SANTIAGO BARBOSA (DOCENTE - Coordenador), NATÁLIA ALVES PIRES DE CAMPOS (DISCENTE - Colaborador);02/04/2018 a 31/12/2022
PI03047-2018;INSTITUTO DE PATOLOGIA TROPICAL E SAUDE PUBLICA;Detecção dos Genes de Virulência do Helicobacter pylori em Pacientes com Câncer Gástrico: Uma Associação com os Aspectos Clínicos e Histopatológicos  ;Ciências Biológicas - Microbiologia - Microbiologia Aplicada - Microbiologia Médica;Com Programa de Pós-graduação da UFG;não;AMANDA FERREIRA PAES LANDIM RAMOS (DISCENTE - Colaborador), ANA KAROLINE SILVA OLIVEIRA (DISCENTE - Colaborador), BRUNO BATISTA DOS SANTOS (DISCENTE - Colaborador), IGOR MARQUES CESÁRIO CALASSA (DISCENTE - Colaborador), JAQUELINE CORREIA PONTES (DISCENTE - Colaborador), JESSICA ALVES RODRIGUES (DISCENTE - Colaborador), LILIAN CARLA CARNEIRO (DOCENTE - Colaborador), LUCAS LUIZ DE LIMA SILVA (DISCENTE - Colaborador), MONICA SANTIAGO BARBOSA (DOCENTE - Coordenador), NATÁLIA ALVES PIRES DE CAMPOS (DISCENTE - Colaborador);01/07/2018 a 31/12/2023
PI03451-2018;FACULDADE DE CIENCIAS SOCIAIS;Produção intelectual indígena na universidade: fundamentos para a ampliação do escopo das ações afirmativas;Ciências Humanas - Antropologia - Etnologia Indígena;Tipo de vínculo desconhecido;não;MONICA THEREZA SOARES PECHINCHA (DOCENTE - Coordenador);01/08/2018 a 31/12/2020
PI03062-2018;FACULDADE DE CIÊNCIAS E TECNOLOGIA;Engenharia de Produção: estudos sobre ética e  desdobramentos na prática profissional;Engenharias - Engenharia de Produção, Ciências Sociais Aplicadas - Direito, Ciências Humanas - Filosofia - Ética;Sem Vínculo (Projeto Isolado);não;GIOVANA GIAROLA DE ALMEIDA (DISCENTE - Colaborador), LUIZ FELIPE ORDONES ALMEIDA (EXTERNO - Colaborador), MARIANA TORRES CALLEFI (DISCENTE - Colaborador), MURILO CHAVES VILARINHO (DOCENTE - Coordenador);10/12/2018 a 10/04/2021
PI02841-2018;FACULDADE DE MEDICINA;Qual o melhor nível distal de artrodese nas escolioses idiopáticas do adolescentes submetidas a fusão da curva lombar: L3 ou L4?;Ciências da Saúde - Medicina - Clínica Médica - Ortopedia;Sem Vínculo (Projeto Isolado);não;MURILO TAVARES DAHER (DOCENTE - Coordenador), NILO CARRIJO MELO (EXTERNO - Colaborador);13/03/2018 a 30/04/2018
PI02843-2018;FACULDADE DE MEDICINA;Comparação da laminoplastia versus laminectomia e artrodese em relação ao equilibrio sagital cervical e qualidade de vida nos pacientes com mielopatia cervical espondilótica?;Ciências da Saúde - Medicina - Clínica Médica - Ortopedia;Sem Vínculo (Projeto Isolado);não;MURILO TAVARES DAHER (DOCENTE - Coordenador);01/01/2018 a 30/04/2018
PI02865-2018;FACULDADE DE MEDICINA;A INFLUÊNCIA GENÉTICA NA DEGENERAÇÃO DISCAL: UMA REVISÃO DE LITERATURA;Ciências da Saúde - Medicina - Clínica Médica - Ortopedia;Sem Vínculo (Projeto Isolado);não;GUILHERME DE MATOS ABE (DISCENTE - Colaborador), MURILO TAVARES DAHER (DOCENTE - Coordenador), RICARDO VIEIRA TELES FILHO (DISCENTE - Colaborador);03/01/2018 a 30/07/2018
